file	output
94B.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "c#", "1.5": "c#", "2.0": "f#", "2.5": "f#", "3.0": "ab", "3.5": "ab", "4.0": "eb", "6.0": "eb"}}
95A.krn	{"global_key": "Bb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "D", "3.0": "F", "4.0": "F", "5.0": "F", "6.0": "Bb"}}
95B.krn	{"global_key": "eb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "bb", "4.0": "bb", "5.0": "bb", "6.0": "bb"}}
96A.krn	{"global_key": "bb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "F", "3.5": "F", "4.0": "Bb", "6.0": "Bb"}}
96B.krn	{"global_key": "eb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "bb", "3.5": "bb", "4.0": "bb", "6.0": "eb"}}
97A.krn	{"global_key": "ab", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "E", "3.0": "a", "3.5": "C", "4.0": "Eb", "5.0": "Eb", "5.5": "Eb", "6.0": "Ab"}}
97B.krn	{"global_key": "eb", "local_keys": {"0.0": "F#", "1.0": "B", "1.5": "B", "2.0": "B", "3.0": "bb", "3.5": "bb", "4.0": "bb", "5.0": "ab", "5.5": "ab", "6.0": "ab"}}
98A.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "6.5": "Db", "7.0": "Db"}}
98B.krn	{"global_key": "B", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "6.5": "Db", "7.0": "Db"}}
99A.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "7.0": "Db", "7.5": "Db", "8.0": "F#"}}
99B.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "E", "2.5": "E", "3.0": "E", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Bb", "6.0": "Db", "7.0": "Db", "7.5": "Db", "8.0": "f#"}}
ex18-2.krn	{"global_key": "c", "local_keys": {"0.0": "Bb", "2.0": "Bb", "3.0": "Eb", "4.0": "Eb", "5.0": "c", "6.0": "c", "7.0": "c", "8.0": "c", "8.5": "c", "9.0": "c"}}
ex18-3a.krn	{"global_key": "C", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "C", "3.0": "C", "4.0": "C"}}
ex18-3b.krn	{"global_key": "C", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "C", "3.0": "C", "3.5": "C", "4.0": "F", "5.0": "F", "6.0": "F", "7.0": "F", "7.5": "F", "8.0": "F"}}
ex18-4.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C", "4.0": "C", "5.0": "C", "6.0": "C", "7.0": "C", "8.0": "C", "9.0": "C", "10.0": "C", "11.0": "C", "12.0": "G", "13.0": "G", "14.0": "e", "15.0": "a", "16.0": "a", "17.0": "a", "17.5": "C", "18.0": "C", "19.0": "C", "20.0": "G", "20.5": "G", "21.0": "G", "22.0": "G", "22.5": "G", "23.0": "G", "23.5": "G", "24.0": "G", "24.5": "G"}}
ex18-6.krn	{"global_key": "d", "local_keys": {"0.0": "d", "0.5": "d", "0.75": "d", "1.0": "d", "2.0": "d", "3.0": "d", "3.5": "d", "3.75": "d", "4.0": "d", "5.0": "d", "6.0": "d", "6.5": "d", "6.75": "d", "7.0": "d", "8.0": "d", "9.0": "d", "9.5": "d", "9.75": "d", "10.0": "d", "11.0": "d", "12.0": "d", "12.5": "d", "13.0": "d", "13.5": "F", "14.0": "F", "14.5": "F", "15.0": "F", "15.5": "F", "15.75": "F", "16.0": "F", "17.0": "F", "18.0": "F", "19.0": "C", "19.5": "C", "20.0": "C", "20.5": "C", "21.0": "C"}}
ex18-7.krn	{"global_key": "Eb", "local_keys": {"0.0": "f", "0.25": "f", "0.5": "f", "0.75": "f", "1.0": "c", "1.25": "c", "1.5": "Eb", "1.75": "Eb", "2.0": "Eb", "2.25": "Eb", "2.5": "Eb", "3.0": "Eb", "3.5": "Eb", "4.0": "Eb", "4.25": "Eb", "4.5": "Ab", "5.0": "Eb", "5.5": "Eb", "6.5": "Eb", "7.0": "Eb", "7.5": "Eb", "8.0": "Eb", "8.25": "Eb", "8.5": "Eb", "8.75": "Eb", "9.0": "Eb", "9.25": "Eb", "9.5": "Eb", "9.75": "Eb", "10.0": "Eb", "10.25": "Eb", "10.5": "Eb", "11.0": "Eb", "11.5": "Eb", "12.0": "Eb", "12.25": "c", "12.5": "g", "13.0": "g", "13.25": "g", "13.5": "g", "14.0": "g", "14.5": "g", "15.0": "g", "15.25": "g", "15.5": "g"}}
ex19-10.krn	{"global_key": "d", "local_keys": {"0.0": "d", "0.5": "d", "1.0": "d", "1.5": "d", "2.0": "d", "2.5": "d", "3.0": "d", "3.5": "D", "4.0": "D", "4.25": "D", "4.5": "D", "4.75": "D", "5.0": "D", "5.5": "D", "6.0": "D", "6.5": "D", "6.75": "D", "7.0": "d", "7.25": "d", "7.5": "d", "7.75": "d", "8.0": "D", "8.25": "D", "8.5": "D", "8.75": "D", "9.0": "D", "9.25": "D", "9.5": "d", "9.75": "d", "10.0": "d", "10.25": "d", "10.5": "d", "10.75": "d", "11.0": "d", "11.75": "d", "12.0": "g", "12.25": "g", "12.5": "g", "12.75": "g", "13.0": "g", "13.25": "g", "13.5": "g", "13.75": "g", "14.0": "g", "14.25": "g", "14.5": "g", "14.75": "g", "15.0": "g", "15.25": "g", "15.5": "G", "15.75": "G", "16.0": "G", "16.25": "G", "16.5": "G", "16.75": "G", "17.0": "G", "17.25": "G", "17.5": "G", "17.75": "G", "18.0": "G", "18.25": "G", "18.5": "g", "18.75": "g", "19.0": "g", "19.25": "g", "19.5": "g", "19.75": "g"}}
ex19-11.krn	{"global_key": "g", "local_keys": {"0.0": "g", "0.5": "g", "1.0": "g", "1.5": "g", "1.75": "g", "2.0": "g", "2.5": "d", "3.0": "g", "3.5": "g", "4.0": "g", "4.5": "g", "5.0": "g", "5.5": "g", "6.0": "g", "6.5": "g", "7.0": "g", "8.0": "Bb", "8.5": "Bb", "9.0": "Bb", "9.5": "Bb", "10.0": "Bb", "10.5": "Bb", "11.0": "Bb", "11.5": "Bb", "11.75": "Bb", "12.0": "Bb", "12.5": "Bb", "13.0": "Bb", "13.5": "Bb", "14.0": "Bb", "15.0": "Bb"}}
ex19-12.krn	{"global_key": "ab", "local_keys": {"0.0": "Db", "4.0": "Db", "8.0": "bb", "12.0": "eb", "16.0": "eb", "20.0": "c#", "24.0": "c#", "28.0": "Ab", "32.0": "eb", "36.0": "B", "40.0": "B"}}
ex19-1.krn	{"global_key": "G", "local_keys": {"0.0": "G", "0.25": "G", "0.5": "G", "0.75": "G", "1.0": "G", "1.25": "G", "1.5": "G", "1.75": "G", "2.0": "G", "2.25": "G", "2.5": "G", "2.75": "G", "3.0": "G", "3.25": "G", "3.5": "G", "3.75": "G", "4.0": "G", "4.25": "G", "4.5": "G", "4.75": "G", "5.0": "G", "5.25": "G", "5.375": "G", "5.5": "G", "5.75": "G", "6.0": "G", "6.25": "D", "6.5": "D", "6.75": "D", "7.0": "D", "7.25": "D", "7.5": "D", "7.75": "D", "8.0": "D", "8.25": "D", "8.5": "D", "8.75": "b", "9.0": "b"}}
ex19-2.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "1.1666666666666667": "C", "1.3333333333333333": "C", "1.5": "C", "2.5": "C", "2.6666666666666665": "C", "2.8333333333333335": "C", "3.0": "C", "4.0": "C", "4.25": "G", "4.5": "G", "5.0": "G", "6.0": "d", "7.0": "d", "7.166666666666667": "d", "7.333333333333333": "d", "7.5": "d", "8.5": "d", "8.666666666666666": "d", "8.833333333333334": "d", "9.0": "d", "10.0": "a", "10.5": "a", "11.0": "A"}}
ex19-3.krn	{"global_key": "C", "local_keys": {"0.0": "C", "0.5": "C", "1.0": "C", "1.5": "C", "2.0": "C", "2.5": "C", "3.0": "C", "3.5": "C", "4.0": "C", "4.5": "C", "5.0": "C", "5.5": "C", "6.0": "C", "6.5": "C", "7.0": "C", "7.5": "G", "8.0": "G", "8.5": "G", "9.0": "G", "9.5": "G", "9.75": "G", "10.0": "G", "10.5": "G", "11.0": "G", "11.5": "G", "12.0": "G", "12.5": "C", "13.0": "C", "13.25": "C", "13.5": "C", "13.75": "C", "14.0": "C", "14.5": "C", "15.0": "C", "15.5": "C", "16.0": "F", "16.5": "Bb", "17.0": "Bb", "17.5": "Bb", "18.0": "Bb", "18.5": "Bb", "19.0": "Bb", "19.5": "Bb", "20.0": "Bb", "20.5": "Bb", "21.0": "Bb", "21.5": "Bb", "22.0": "Bb", "22.5": "Bb", "23.0": "F", "23.5": "F", "24.0": "F", "24.5": "F", "25.0": "F", "25.5": "F", "25.75": "F", "26.0": "F", "26.5": "F", "27.0": "F", "27.5": "F"}}
ex19-4.krn	{"global_key": "c", "local_keys": {"0.0": "C", "2.0": "C", "3.0": "C", "4.0": "C", "5.0": "C", "6.0": "C", "7.0": "C", "8.0": "C", "9.0": "C", "10.0": "C", "11.0": "C", "12.0": "Eb", "14.0": "Eb", "15.0": "Eb", "16.0": "Eb", "17.0": "Eb", "18.0": "Eb", "19.0": "Eb", "20.0": "Eb", "21.0": "Eb", "22.0": "Eb", "23.0": "Eb", "24.0": "F#", "26.0": "F#", "27.0": "F#", "28.0": "F#", "29.0": "F#", "30.0": "F#", "31.0": "F#", "32.0": "F#", "33.0": "F#", "34.0": "F#", "35.0": "F#", "36.0": "b", "38.0": "b", "39.0": "b", "40.0": "b", "41.0": "b", "42.0": "C", "44.0": "C", "45.0": "C", "46.0": "C", "47.0": "C", "48.0": "C", "50.0": "C", "51.0": "C", "52.0": "C", "53.0": "C"}}
ex19-5.krn	{"global_key": "D", "local_keys": {"0.0": "b", "1.0": "b", "1.25": "b", "1.5": "b", "1.75": "b", "2.0": "b", "3.0": "b", "3.25": "b", "3.5": "b", "3.75": "b", "4.0": "b", "5.0": "b", "6.0": "b", "6.5": "b", "7.0": "b", "7.5": "b", "8.0": "D", "8.25": "D", "8.5": "D", "8.75": "D", "9.0": "D", "9.25": "D", "9.5": "D", "9.75": "D", "10.0": "D", "10.25": "D", "10.375": "D", "10.5": "D", "10.75": "D", "11.0": "D", "11.25": "D", "11.5": "G", "11.75": "G", "12.0": "G", "12.25": "G", "12.5": "G", "12.625": "G", "12.75": "G", "12.833333333333334": "G", "12.916666666666666": "G", "13.0": "D", "13.25": "D", "13.5": "D", "13.75": "D", "14.0": "D", "14.375": "D", "14.4375": "D", "14.5": "D"}}
ex19-6.krn	{"global_key": "Bb", "local_keys": {"0.0": "d", "1.0": "d", "2.0": "d", "3.0": "d", "3.5": "d", "4.0": "d", "5.0": "d", "6.0": "d", "7.0": "d", "7.5": "d", "8.0": "d", "10.0": "d", "12.0": "d", "13.0": "d", "14.0": "d", "15.0": "d", "16.0": "Bb", "16.25": "Bb", "16.5": "Bb", "16.75": "Bb", "17.0": "Bb", "17.25": "Bb", "17.5": "Bb", "17.75": "Bb", "18.0": "Bb", "18.25": "Bb", "18.5": "Bb", "18.75": "Bb", "19.0": "Bb", "19.25": "Bb", "19.5": "Bb", "19.75": "Bb", "19.8": "Bb", "19.85": "Bb", "19.9": "Bb", "19.95": "Bb", "20.0": "Bb", "24.0": "Bb", "24.25": "Bb", "24.5": "Bb", "24.75": "Bb", "25.0": "Bb", "25.25": "Bb", "25.5": "Bb", "25.75": "Bb", "26.0": "Bb", "26.25": "Bb", "26.5": "Bb", "26.75": "Bb", "27.0": "Bb", "27.25": "Bb", "27.5": "Bb", "27.75": "Bb", "27.8": "Bb", "27.85": "Bb", "27.9": "Bb", "27.95": "Bb", "28.0": "Bb", "31.0": "Bb", "31.25": "Bb", "31.5": "Bb", "31.75": "Bb", "32.0": "Bb", "35.0": "Bb", "35.25": "Bb", "35.5": "Bb", "35.75": "Bb", "36.0": "Bb", "37.5": "Bb", "37.75": "Bb", "38.0": "Bb", "39.5": "Bb", "39.75": "Bb", "40.0": "Bb", "41.5": "Bb", "41.75": "Bb", "42.0": "Bb", "43.5": "Bb", "43.666666666666664": "Bb", "43.833333333333336": "Bb", "44.0": "Bb", "44.5": "Bb", "45.0": "Bb", "45.5": "Bb", "46.0": "Bb", "46.5": "Bb", "47.0": "Bb", "47.5": "Bb"}}
ex27-2a.krn	{"global_key": "C", "local_keys": {"0.0": "G", "0.5": "G", "1.0": "G", "2.0": "G", "3.0": "G", "3.5": "G", "4.0": "C", "6.0": "C", "7.0": "C", "7.5": "C", "8.0": "C", "9.0": "C", "10.0": "C", "11.0": "C", "11.5": "C", "12.0": "C"}}
ex27-2b.krn	{"global_key": "Eb", "local_keys": {"0.0": "Bb", "0.5": "Bb", "1.0": "Bb", "2.0": "Bb", "2.5": "Bb", "3.0": "Bb", "3.5": "Bb", "4.0": "Eb", "5.0": "Eb", "5.5": "Eb", "6.0": "Eb", "6.5": "c", "7.0": "c", "7.5": "c", "8.0": "c", "9.0": "c", "9.5": "c", "10.0": "c"}}
ex27-2c.krn	{"global_key": "G", "local_keys": {"1.0": "G", "1.5": "G", "2.0": "G", "2.5": "G", "3.0": "G", "3.5": "G", "4.0": "G", "4.5": "G", "4.75": "G", "5.0": "G", "7.0": "e", "7.5": "e", "8.0": "e", "8.5": "e", "9.0": "e", "9.5": "e", "10.0": "e", "11.0": "e"}}
ex27-3.krn	{"global_key": "F", "local_keys": {"0.0": "F", "0.5": "F", "1.0": "F", "1.5": "F", "2.0": "g", "2.5": "g", "3.0": "g", "3.5": "d", "4.0": "F", "4.5": "F", "5.0": "F", "6.0": "F", "6.5": "F", "7.0": "F", "8.0": "F", "8.5": "F", "8.75": "F", "9.0": "F"}}
ex27-4a.krn	{"global_key": "Ab", "local_keys": {"0.0": "Ab", "1.0": "Ab", "2.0": "Ab", "3.0": "Ab", "4.0": "Ab"}}
ex27-4b.krn	{"global_key": "Ab", "local_keys": {"0.0": "Ab", "1.0": "Ab", "2.0": "Ab", "3.0": "Ab", "3.5": "Ab", "4.0": "Ab", "5.0": "Ab", "6.0": "Ab"}}
ex27-7.krn	{"global_key": "Eb", "local_keys": {"0.0": "Eb", "1.0": "Eb", "1.25": "Eb", "1.3125": "Eb", "1.375": "Eb", "1.4375": "Eb", "1.5": "Eb", "2.0": "Eb", "2.5": "c", "3.0": "c", "4.0": "c", "4.5": "Eb", "5.5": "Eb", "5.75": "Eb", "6.0": "Eb", "7.0": "Eb", "7.25": "Eb", "7.3125": "Eb", "7.375": "Eb", "7.4375": "Eb", "7.5": "Eb", "8.0": "Eb", "8.5": "c", "9.0": "c", "10.0": "c", "10.5": "Eb", "11.5": "Eb", "11.75": "Eb", "12.0": "Eb", "13.0": "Eb", "13.25": "Eb", "13.3125": "Eb", "13.375": "Eb", "13.4375": "Eb", "13.5": "Eb", "14.0": "Eb", "14.5": "c", "15.0": "c", "16.0": "c", "16.25": "c", "16.3125": "c", "16.375": "g", "16.4375": "c", "16.5": "c", "17.0": "c", "17.5": "c", "18.0": "c", "19.0": "c", "19.25": "c", "19.3125": "c", "19.375": "g", "19.4375": "c", "19.5": "c", "20.0": "c", "20.5": "c", "21.0": "c", "22.0": "c", "22.25": "c", "22.3125": "c", "22.375": "g", "22.4375": "g", "22.5": "g", "23.0": "g", "23.5": "g", "24.0": "Bb", "25.5": "Bb", "27.0": "Bb", "27.25": "Bb", "27.5": "Bb", "27.75": "Bb", "28.0": "Bb", "28.25": "Bb", "28.5": "Bb", "28.75": "Bb", "29.0": "Bb", "29.25": "Bb", "29.5": "Bb", "29.75": "Bb", "30.0": "Bb", "30.25": "Bb", "30.5": "Bb", "30.75": "Bb", "31.0": "Bb", "31.25": "Bb", "31.5": "Bb", "31.75": "bb", "32.0": "bb", "32.25": "bb", "32.5": "bb", "32.75": "bb", "33.0": "bb", "33.25": "Bb", "33.5": "Bb", "33.75": "Bb", "34.0": "Bb", "34.25": "Bb", "34.5": "Bb", "34.75": "Bb", "35.0": "Bb", "35.25": "Bb", "35.5": "Bb", "35.75": "Bb"}}
